GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
okhttp-client-extensions,com.amilesend.client.parse,GsonFactoryBase,109,0,10,0,24,0,10,0,5,0
okhttp-client-extensions,com.amilesend.client.crypto,KeyStoreHelper,0,166,0,12,0,44,0,11,0,5
okhttp-client-extensions,com.amilesend.client.crypto,KeyStoreHelperException,0,9,0,0,0,4,0,2,0,2
okhttp-client-extensions,com.amilesend.client.crypto,CryptoHelperFactory,0,54,0,2,0,13,0,3,0,2
okhttp-client-extensions,com.amilesend.client.crypto,CryptoHelperException,4,5,0,0,2,2,1,1,1,1
okhttp-client-extensions,com.amilesend.client.crypto,CryptoHelper,0,132,0,6,0,26,0,9,0,6
okhttp-client-extensions,com.amilesend.client.parse.parser,BasicParser,23,0,4,0,2,0,3,0,1,0
okhttp-client-extensions,com.amilesend.client.parse.parser,MapParser,56,0,8,0,5,0,6,0,2,0
okhttp-client-extensions,com.amilesend.client.parse.parser,ListParser,45,0,6,0,5,0,5,0,2,0
okhttp-client-extensions,com.amilesend.client.parse.parser,GsonParser,26,0,4,0,3,0,3,0,1,0
okhttp-client-extensions,com.amilesend.client.connection.http,OkHttpClientBuilder,7,206,1,15,2,59,2,21,1,14
okhttp-client-extensions,com.amilesend.client.connection.http,OkHttpClientBuilder.CredentialAuthenticator,5,16,1,1,0,6,1,1,0,1
okhttp-client-extensions,com.amilesend.client.connection,ResponseParseException,0,5,0,0,0,2,0,1,0,1
okhttp-client-extensions,com.amilesend.client.connection,ConnectionException,0,9,0,0,0,4,0,2,0,2
okhttp-client-extensions,com.amilesend.client.connection,ThrottledException,0,7,0,0,0,3,0,1,0,1
okhttp-client-extensions,com.amilesend.client.connection,RequestException,0,9,0,0,0,4,0,2,0,2
okhttp-client-extensions,com.amilesend.client.connection,DefaultConnectionBuilder,0,26,0,0,0,10,0,2,0,2
okhttp-client-extensions,com.amilesend.client.connection,ConnectionBuilder,1,80,1,1,0,20,1,8,0,8
okhttp-client-extensions,com.amilesend.client.connection,ResponseException,0,9,0,0,0,4,0,2,0,2
okhttp-client-extensions,com.amilesend.client.connection,Connection,11,192,2,18,3,48,2,14,0,6
okhttp-client-extensions,com.amilesend.client.connection.file,ProgressReportingRequestBody,0,106,0,4,0,23,0,9,0,7
okhttp-client-extensions,com.amilesend.client.connection.file,TransferFileWriter,0,64,0,6,0,13,0,4,0,1
okhttp-client-extensions,com.amilesend.client.connection.file,LogProgressCallback.TransferType,0,24,0,0,0,4,0,1,0,1
okhttp-client-extensions,com.amilesend.client.connection.file,ProgressReportingRequestBody.MultiPartBuilder,0,108,0,2,0,30,0,9,0,8
okhttp-client-extensions,com.amilesend.client.connection.file,LogProgressCallback,0,233,0,4,0,43,0,11,0,9
okhttp-client-extensions,com.amilesend.client.connection.file,ProgressReportingRequestBody.Builder,0,86,0,2,0,23,0,9,0,8
okhttp-client-extensions,com.amilesend.client.connection.file,TransferFileUtil,0,48,0,8,0,12,0,6,0,2
okhttp-client-extensions,com.amilesend.client.connection.file,TrackingSink,10,74,2,8,2,19,3,5,1,2
okhttp-client-extensions,com.amilesend.client.connection.auth,NoAuthInfo,2,7,0,0,1,2,1,2,1,2
okhttp-client-extensions,com.amilesend.client.connection.auth,AuthManager,4,0,0,0,1,0,1,0,1,0
okhttp-client-extensions,com.amilesend.client.connection.auth,AuthException,9,0,0,0,4,0,2,0,2,0
okhttp-client-extensions,com.amilesend.client.connection.auth,NoOpAuthManager,2,12,0,0,1,4,1,4,1,4
okhttp-client-extensions,com.amilesend.client.parse.strategy,AnnotationBasedSerializationExclusionStrategy,13,0,2,0,3,0,4,0,3,0
okhttp-client-extensions,com.amilesend.client.parse.strategy,AnnotationBasedExclusionStrategy,13,0,2,0,3,0,4,0,3,0
